#{"t_start": 1773366505.005306, "env_id": "Humanoid-v4"}
r,l,t
107.000753,21,1.010507
95.000849,19,1.023556
83.29914,17,1.036206
141.729749,28,1.056428
221.10727,43,1.1163
83.711121,17,1.127608
95.099777,19,1.142093
101.772335,21,1.156625
107.277,21,1.170456
105.371626,21,1.186315
115.118755,23,1.202291
110.803775,23,1.216597
107.743944,21,1.229315
178.570329,34,1.252858
134.478316,26,1.270007
99.621606,20,1.282488
138.770507,27,1.299404
83.49444,17,1.309672
133.712078,26,1.326557
89.421903,18,1.337047
124.00199,24,1.352247
89.943316,18,1.362274
209.748799,43,1.390316
103.34213,21,1.403531
123.265177,24,1.418164
83.38055,17,1.427787
196.98712,40,1.454352
83.547248,17,1.464043
148.093312,29,1.483359
100.683628,20,1.494827
125.615304,25,1.510853
98.540495,20,1.523247
83.714996,17,1.533593
88.883265,18,1.543949
89.092907,18,1.55437
148.754212,30,1.574441
100.475178,20,1.586672
89.64564,18,1.597066
112.749276,22,1.610258
106.964724,21,1.623455
197.54356,38,1.648293
116.575113,23,1.662906
78.558143,16,1.672588
105.25855,21,1.685119
182.131738,36,1.707725
141.447917,28,1.724799
88.538259,18,1.735073
147.598728,30,1.753078
122.054514,24,1.767267
100.613267,20,1.778525
136.81096,27,1.795224
106.562382,22,1.808266
89.495634,18,1.818632
212.66588,41,1.844239
164.072432,32,1.865425
94.260489,19,1.875824
88.904226,18,1.885993
88.702669,18,1.89585
101.757784,20,1.906898
131.878957,26,1.923577
89.179534,18,1.933903
128.039944,26,1.949073
150.454153,29,1.968117
195.609472,37,1.99067
119.099272,24,2.004407
137.152329,27,2.020133
83.711901,17,2.030079
220.798303,43,2.058431
78.733633,16,2.067469
128.039974,25,2.082178
152.727987,31,2.102578
124.630166,24,2.11632
94.725446,19,2.127099
178.598332,37,2.149535
98.954543,20,2.161948
146.187644,29,2.180959
105.892878,21,2.198008
88.335746,18,2.209
159.970597,31,2.229248
88.881704,18,2.239847
264.231902,52,2.272863
112.121579,22,2.286706
94.263318,19,2.297947
83.409998,17,2.307243
83.643697,17,2.316614
99.842557,20,2.328431
111.823628,22,2.342128
95.678217,19,2.353277
114.02917,23,2.36656
168.954826,34,2.386736
260.411056,52,2.420884
129.029939,25,2.435488
101.593164,20,2.44728
134.841052,27,2.463189
135.301173,27,2.479573
136.0843,27,2.495446
103.51074,21,2.507313
125.182885,24,2.520967
120.666368,24,2.535074
78.840682,16,2.543769
124.446326,24,2.558401
98.772108,20,2.569422
115.737126,23,2.583306
83.319132,17,2.592185
94.933395,19,2.604246
135.143447,27,2.619903
88.483167,18,2.630706
183.035551,37,2.653902
99.737791,20,2.66546
93.993295,19,2.676137
83.427355,17,2.685121
83.4053,17,2.695126
156.102308,33,2.715714
131.003653,25,2.7304
101.444848,20,2.742583
207.326899,44,2.77203
95.450967,19,2.782856
118.26143,23,2.796107
161.771333,32,2.816352
129.576833,25,2.831416
146.479031,29,2.848035
129.326995,27,2.864754
89.334417,18,2.875332
101.927258,20,2.888005
89.724824,18,2.89806
111.938737,22,2.910549
98.504787,20,2.922836
89.734595,18,2.933679
131.050617,25,2.94913
112.232597,22,2.961764
83.555361,17,2.971625
89.527387,18,2.982127
138.299514,28,2.998935
223.391743,43,3.025679
132.778643,26,3.040915
89.901587,18,3.051354
177.247146,35,3.072543
123.237195,25,3.086928
107.763406,21,3.100731
89.953015,18,3.110805
95.161012,19,3.122009
88.346522,18,3.131793
94.332964,19,3.143048
135.452085,26,3.159352
83.213466,17,3.168801
96.43223,20,3.180489
106.357614,21,3.193539
114.89037,23,3.20948
122.951368,24,3.223573
100.68822,20,3.234832
129.680822,25,3.249723
101.19343,20,3.261416
88.343319,18,3.271462
135.000711,28,3.288207
119.921041,24,3.302328
106.016892,21,3.314199
133.006627,26,3.330991
94.557567,19,3.341327
171.875553,34,3.362206
88.475101,18,3.373032
119.513717,24,3.387022
197.575335,39,3.410607
95.04766,19,3.421799
83.550199,17,3.43145
156.376216,30,3.451142
158.301496,31,3.469844
137.956168,27,3.485916
100.43755,20,3.497095
122.032242,24,3.5113
96.014721,19,3.521509
155.263243,31,3.540039
130.590994,26,3.555528
88.85228,18,3.565911
193.872062,37,3.588568
83.517272,17,3.597695
78.234197,16,3.607494
83.422826,17,3.617591
83.499057,17,3.626546
170.825222,34,3.649911
112.068805,22,3.662231
104.914888,21,3.675653
100.49272,20,3.691049
118.405444,23,3.70656
117.150801,25,3.72284
107.017214,21,3.735567
83.768652,17,3.745113
135.420189,26,3.761285
138.742033,28,3.778769
130.345753,25,3.796253
108.10396,22,3.80966
93.900222,19,3.8212
175.451085,35,3.843805
124.942313,24,3.858644
83.480228,17,3.868195
126.726793,25,3.884387
139.259994,27,3.900477
112.844677,22,3.914143
128.981643,25,3.929268
94.58848,19,3.940612
89.29856,18,3.951551
161.826599,33,3.971789
83.419419,17,3.981149
94.673212,19,3.99251
144.302501,28,4.009477
206.988503,43,4.037924
131.998578,27,4.055169
138.613287,29,4.072313
93.573982,19,4.083869
122.637838,24,4.098067
112.225503,22,4.111389
154.893825,30,4.129893
94.863897,19,4.141251
150.385357,29,4.160462
88.209132,18,4.170994
110.835224,22,4.184499
178.215255,34,4.205537
100.032292,20,4.217953
95.187082,19,4.22848
108.241424,22,4.241756
90.081781,18,4.25263
146.016463,29,4.270012
157.022202,32,4.290576
133.132969,26,4.307035
123.406212,26,4.323623
89.47915,18,4.334578
143.77507,28,4.351647
166.843306,32,4.371942
88.865804,18,4.382321
116.361761,23,4.397905
88.557091,18,4.408265
89.622492,18,4.418919
128.16035,26,4.437137
95.240589,19,4.449898
131.391265,26,4.46607
208.762221,43,4.495694
123.960362,24,4.510162
123.063798,24,4.524778
133.909958,26,4.540595
125.646225,25,4.555474
107.681407,21,4.567995
176.596496,35,4.589737
83.199754,17,4.599392
175.064833,34,4.621214
120.200241,24,4.635114
90.569308,18,4.64477
150.12592,31,4.662233
95.917237,19,4.673218
93.95,19,4.685564
189.597239,36,4.708889
101.170538,20,4.720109
95.514002,19,4.731544
83.846634,17,4.742511
83.556421,17,4.752437
142.923882,29,4.769444
111.774733,22,4.783243
88.229037,18,4.793215
134.503048,27,4.809567
139.888197,27,4.825132
143.269017,30,4.845691
154.443599,29,4.863779
136.68423,27,4.880028
117.49826,23,4.893236
89.254192,18,4.903844
201.958601,39,4.928846
113.311977,22,4.941489
185.098219,38,4.96502
146.281677,30,4.983343
83.893575,17,4.994474
129.653865,26,5.010057
83.378373,17,5.018626
83.931725,17,5.027971
154.551228,30,5.045754
116.84429,23,5.059002
89.672236,18,5.06865
89.333823,18,5.07822
141.925232,28,5.095413
83.661248,17,5.105983
148.103212,30,5.123616
160.80954,33,5.14387
138.463743,27,5.161309
175.687537,34,5.182047
150.794951,30,5.201571
182.628909,35,5.224593
116.190428,23,5.238035
108.935648,22,5.251143
173.951004,35,5.272398
121.25885,24,5.287337
100.915263,20,5.298156
94.590199,19,5.308512
98.695199,20,5.319398
127.913572,26,5.336009
83.528658,17,5.34537
83.147448,17,5.355678
141.014198,27,5.370819
106.741421,21,5.383057
208.041753,40,5.414321
214.960406,43,5.441985
83.42628,17,5.451788
83.506344,17,5.461125
196.668934,38,5.485573
118.428134,23,5.4992
118.270895,23,5.514013
106.170387,21,5.527131
94.90003,19,5.538195
93.402214,19,5.549112
88.21001,18,5.55897
88.125407,18,5.568858
88.577803,18,5.579383
135.011754,26,5.595083
125.597046,25,5.610078
108.15277,21,5.622484
106.864024,21,5.634701
87.958614,18,5.64452
122.296021,24,5.659093
102.967084,20,5.670489
129.319408,25,5.687239
163.223209,35,5.708866
129.422517,26,5.724767
157.898268,33,5.7477
210.999023,43,5.77444
94.46637,19,5.785969
106.656979,21,5.798923
144.439375,28,5.817239
141.827348,28,5.833329
164.406915,33,5.852374
95.796513,19,5.862833
160.522545,32,5.882494
178.753345,34,5.903332
88.945619,18,5.913081
253.658995,51,5.945619
203.4791,40,5.97038
95.2994,19,5.980696
138.138699,27,5.997101
122.132822,24,6.010605
107.535953,21,6.022845
96.031872,19,6.034289
129.543613,26,6.049602
115.39353,23,6.063113
118.897149,23,6.076722
94.489237,19,6.087791
88.478133,18,6.097559
88.990135,18,6.107112
113.747294,22,6.119341
126.384103,25,6.135102
180.687105,36,6.156548
103.957539,21,6.167941
115.801464,23,6.182607
94.214235,19,6.193293
95.048327,19,6.204429
